username,year,day,part,cyclomatic_complexity
AbdeI1,2015,1,,1.67
AbdeI1,2015,2,,1.67
AbdeI1,2015,3,,2.33
AbdeI1,2015,4,,2.33
AbdeI1,2015,5,,3.33
AbdeI1,2015,6,,6.33
AbdeI1,2015,7,,2.33
AbdeI1,2015,8,,1.67
AbdeI1,2015,9,,3.67
AbdeI1,2015,10,,2.33
AbdeI1,2015,11,,3.0
AbdeI1,2015,12,,1.0
AbdeI1,2015,13,,3.0
AbdeI1,2015,14,,4.0
AbdeI1,2015,15,,1.67
AbdeI1,2015,16,,4.33
AbdeI1,2015,17,,3.0
AbdeI1,2015,18,,10.67
AbdeI1,2015,19,,3.0
AbdeI1,2015,20,,3.67
AbdeI1,2015,21,,3.67
AbdeI1,2015,22,,12.33
AbdeI1,2015,23,,7.0
AbdeI1,2015,24,,1.0
AbdeI1,2015,25,,1.0
AbdeI1,2016,1,,4.67
AbdeI1,2016,2,,6.0
AbdeI1,2016,3,,3.67
AbdeI1,2016,4,,4.33
AbdeI1,2016,5,,3.33
AbdeI1,2016,6,,3.0
AbdeI1,2016,7,,5.67
AbdeI1,2016,8,,10.0
AbdeI1,2016,9,,1.67
AbdeI1,2016,10,,4.33
AbdeI1,2016,11,,13.0
AbdeI1,2016,12,,3.67
AbdeI1,2016,13,,5.67
AbdeI1,2016,14,,7.67
AbdeI1,2016,15,,4.33
AbdeI1,2016,16,,3.67
AbdeI1,2016,17,,2.67
AbdeI1,2016,18,,3.0
AbdeI1,2016,19,,3.25
AbdeI1,2016,20,,3.67
AbdeI1,2016,21,,11.33
AbdeI1,2016,22,,7.33
AbdeI1,2016,23,,5.0
AbdeI1,2016,24,,11.67
AbdeI1,2016,25,,1.33
AbdeI1,2017,1,,2.33
AbdeI1,2017,2,,3.0
AbdeI1,2017,3,,4.0
AbdeI1,2017,4,,1.0
AbdeI1,2017,5,,2.0
AbdeI1,2017,6,,2.33
AbdeI1,2017,7,,2.33
AbdeI1,2017,8,,3.0
AbdeI1,2017,9,,4.33
AbdeI1,2017,10,,4.0
AbdeI1,2017,11,,1.67
AbdeI1,2017,12,,4.0
AbdeI1,2017,13,,3.0
AbdeI1,2017,14,,6.25
AbdeI1,2017,15,,3.0
AbdeI1,2017,16,,6.33
AbdeI1,2017,17,,1.6
AbdeI1,2017,18,,5.0
AbdeI1,2017,19,,4.67
AbdeI1,2017,20,,13.67
AbdeI1,2017,21,,4.33
AbdeI1,2017,22,,5.33
AbdeI1,2017,23,,6.67
AbdeI1,2017,24,,2.67
AbdeI1,2017,25,,2.0
AbdeI1,2018,1,,1.67
AbdeI1,2018,2,,2.0
AbdeI1,2018,3,,6.33
AbdeI1,2018,4,,6.33
AbdeI1,2018,5,,3.0
AbdeI1,2018,6,,10.0
AbdeI1,2018,7,,7.33
AbdeI1,2018,8,,1.33
AbdeI1,2018,9,,2.33
AbdeI1,2018,10,,9.67
AbdeI1,2018,11,,6.67
AbdeI1,2018,12,,7.33
AbdeI1,2018,13,,14.0
AbdeI1,2018,14,,2.33
AbdeI1,2018,15,,3.35
AbdeI1,2018,16,,2.37
AbdeI1,2018,17,,8.0
AbdeI1,2018,18,,13.0
AbdeI1,2018,19,,1.74
AbdeI1,2018,20,,1.67
AbdeI1,2018,21,,1.68
AbdeI1,2018,22,,6.0
AbdeI1,2018,23,,6.0
AbdeI1,2018,24,,3.88
AbdeI1,2018,25,,3.33
AbdeI1,2019,1,,2.0
AbdeI1,2019,2,,4.67
AbdeI1,2019,3,,14.33
AbdeI1,2019,4,,3.33
AbdeI1,2019,5,,5.0
AbdeI1,2019,6,,4.0
AbdeI1,2019,7,,2.67
AbdeI1,2019,8,,5.67
AbdeI1,2019,9,,1.0
AbdeI1,2019,10,,6.67
AbdeI1,2019,11,,4.33
AbdeI1,2019,12,,7.33
AbdeI1,2019,13,,6.0
AbdeI1,2019,14,,8.33
AbdeI1,2019,15,,9.33
AbdeI1,2019,16,,3.33
AbdeI1,2019,17,,9.67
AbdeI1,2019,18,,16.0
AbdeI1,2019,19,,7.0
AbdeI1,2019,20,,16.33
AbdeI1,2019,21,,1.0
AbdeI1,2019,22,,3.67
AbdeI1,2019,23,,7.33
AbdeI1,2019,24,,10.33
AbdeI1,2019,25,,6.33
AbdeI1,2020,1,,2.33
AbdeI1,2020,2,,2.33
AbdeI1,2020,3,,2.0
AbdeI1,2020,4,,14.0
AbdeI1,2020,5,,1.67
AbdeI1,2020,6,,4.33
AbdeI1,2020,7,,4.67
AbdeI1,2020,8,,5.25
AbdeI1,2020,9,,4.0
AbdeI1,2020,10,,2.86
AbdeI1,2020,11,,5.59
AbdeI1,2020,12,,1.0
AbdeI1,2020,13,,4.0
AbdeI1,2020,14,,6.0
AbdeI1,2020,15,,2.5
AbdeI1,2020,16,,11.0
AbdeI1,2020,17,,6.56
AbdeI1,2020,18,,4.25
AbdeI1,2020,19,,5.2
AbdeI1,2020,20,,12.8
AbdeI1,2020,21,,15.33
AbdeI1,2020,22,,4.5
AbdeI1,2020,23,,5.33
AbdeI1,2020,24,,10.25
AbdeI1,2020,25,,2.5
AbdeI1,2021,1,,2.33
AbdeI1,2021,2,,3.67
AbdeI1,2021,3,,5.33
AbdeI1,2021,4,,19.0
AbdeI1,2021,5,,7.0
AbdeI1,2021,6,,3.0
AbdeI1,2021,7,,2.5
AbdeI1,2021,8,,25.6
AbdeI1,2021,9,,5.4
AbdeI1,2021,10,,9.67
AbdeI1,2021,11,,4.83
AbdeI1,2021,12,,4.8
AbdeI1,2021,13,,5.4
AbdeI1,2021,14,,3.8
AbdeI1,2021,15,,5.4
AbdeI1,2021,16,,3.82
AbdeI1,2021,17,,4.0
AbdeI1,2021,18,,3.42
AbdeI1,2021,19,,3.42
AbdeI1,2021,20,,6.78
AbdeI1,2021,21,,3.4
AbdeI1,2021,22,,10.0
AbdeI1,2021,23,,9.25
AbdeI1,2021,24,,3.78
AbdeI1,2021,25,,4.67
AbdeI1,2022,1,,2.33
AbdeI1,2022,2,,3.0
AbdeI1,2022,3,,3.33
AbdeI1,2022,4,,3.67
AbdeI1,2022,5,,6.0
AbdeI1,2022,6,,3.0
AbdeI1,2022,7,,5.67
AbdeI1,2022,8,,5.33
AbdeI1,2022,9,,5.0
AbdeI1,2022,10,,4.33
AbdeI1,2022,11,,3.0
AbdeI1,2022,12,,8.67
AbdeI1,2022,13,,5.5
AbdeI1,2022,14,,10.33
AbdeI1,2022,15,,3.83
AbdeI1,2022,16,,4.83
AbdeI1,2022,17,,19.33
AbdeI1,2022,18,,7.67
AbdeI1,2022,19,,1.83
AbdeI1,2022,20,,4.17
AbdeI1,2022,21,,3.33
AbdeI1,2022,22,,26.0
AbdeI1,2022,23,,14.33
AbdeI1,2022,24,,8.2
AbdeI1,2022,25,,2.75
AbdeI1,2023,1,,3.0
AbdeI1,2023,2,,6.67
AbdeI1,2023,3,,8.33
AbdeI1,2023,4,,2.33
AbdeI1,2023,5,,4.14
AbdeI1,2023,6,,1.33
AbdeI1,2023,7,,2.33
AbdeI1,2023,8,,3.4
AbdeI1,2023,9,,3.0
AbdeI1,2023,10,,14.33
AbdeI1,2023,11,,11.67
AbdeI1,2023,12,,2.67
AbdeI1,2023,13,,11.67
AbdeI1,2023,14,,5.67
AbdeI1,2023,15,,5.0
AbdeI1,2023,16,,8.67
AbdeI1,2023,17,,10.67
AbdeI1,2023,18,,7.0
AbdeI1,2023,19,,4.67
AbdeI1,2023,20,,10.0
AbdeI1,2023,21,,15.0
AbdeI1,2023,22,,19.67
AbdeI1,2023,23,,23.33
AbdeI1,2023,24,,4.67
AbdeI1,2023,25,,4.0
AbdeI1,2024,1,,2.33
AbdeI1,2024,2,,3.25
AbdeI1,2024,3,,2.33
AbdeI1,2024,4,,3.67
AbdeI1,2024,5,,7.33
AbdeI1,2024,6,,9.67
AbdeI1,2024,7,,4.67
AbdeI1,2024,8,,8.33
AbdeI1,2024,9,,8.0
AbdeI1,2024,10,,7.33
AbdeI1,2024,11,,1.67
AbdeI1,2024,12,,9.67
AbdeI1,2024,13,,5.0
AbdeI1,2024,14,,7.25
AbdeI1,2024,15,,7.33
AbdeI1,2024,16,,8.0
AbdeI1,2024,17,,3.5
AbdeI1,2024,18,,9.75
AbdeI1,2024,19,,2.0
AbdeI1,2024,20,,16.0
AbdeI1,2024,21,,5.25
AbdeI1,2024,22,,4.67
AbdeI1,2024,23,,8.67
AbdeI1,2024,24,,6.67
AbdeI1,2024,25,,4.0
AbdeI1,2025,1,,1.0
AbdeI1,2025,2,,4.67
AbdeI1,2025,3,,2.67
AbdeI1,2025,4,,5.33
AbdeI1,2025,5,,5.0
AbdeI1,2025,6,,3.0
AbdeI1,2025,7,,3.67
AbdeI1,2025,8,,6.33
AbdeI1,2025,9,,8.33
AbdeI1,2025,10,,7.67
AbdeI1,2025,11,,1.67
AbdeI1,2025,12,,4.2
arhamansari11,2024,1,,
arhamansari11,2024,1,,
arhamansari11,2024,2,,7.0
arhamansari11,2024,2,,5.0
arhamansari11,2024,3,,2.0
arhamansari11,2024,3,,6.0
arhamansari11,2024,4,,13.0
arhamansari11,2024,4,,4.0
arhamansari11,2024,5,,5.25
arhamansari11,2024,5,,4.8
arhamansari11,2024,6,,4.0
arhamansari11,2024,6,,
arhamansari11,2024,7,,3.0
arhamansari11,2024,7,,3.5
arhamansari11,2024,8,,13.0
arhamansari11,2024,8,,12.0
arhamansari11,2024,9,,
arhamansari11,2024,9,,8.0
arhamansari11,2024,10,,4.2
arhamansari11,2024,10,,4.0
arhamansari11,2024,11,,3.0
arhamansari11,2024,11,,3.0
