username,year,day,filename,runtime
GNUSheep,2023,1,part01.py,0.0192
GNUSheep,2023,2,part01.py,0.0197
GNUSheep,2023,3,part01.py,0.0362
GNUSheep,2023,4,part01.py,0.0192
GNUSheep,2023,5,part01.py,0.0191
GNUSheep,2023,6,part01.py,0.0187
GNUSheep,2023,7,part01.py,0.0451
GNUSheep,2023,8,part01.py,0.0241
GNUSheep,2023,9,part01.py,0.0404
GNUSheep,2023,10,part01.py,0.0333
GNUSheep,2023,11,part01.py,0.0564
GNUSheep,2023,12,part01.py,0.0525
GNUSheep,2023,13,part01.py,0.0211
GNUSheep,2023,14,part01.py,0.0207
GNUSheep,2023,15,part01.py,0.0231
GNUSheep,2023,16,part01.py,0.0282
GNUSheep,2023,17,part01.py,1.0214
GNUSheep,2023,18,part01.py,0.0205
GNUSheep,2023,19,part01.py,0.0205
GNUSheep,2023,20,part01.py,0.3654
GNUSheep,2023,21,part01.py,0.0965
GNUSheep,2023,22,part01.py,0.359
GNUSheep,2023,23,part01.py,7.3741
GNUSheep,2023,24,part01.py,0.0883
GNUSheep,2023,25,part01.py,
GNUSheep,2024,1,part1.py,0.0189
GNUSheep,2024,1,part2.py,0.0248
GNUSheep,2024,2,part01.py,0.0212
GNUSheep,2024,3,part01.py,0.0273
GNUSheep,2024,4,part01.py,0.0297
GNUSheep,2024,5,part01.py,0.0236
GNUSheep,2024,6,part01.py,0.0225
GNUSheep,2024,7,part01.py,0.0632
GNUSheep,2024,8,part01.py,0.0205
GNUSheep,2024,9,part01.py,0.0582
GNUSheep,2024,10,part01.py,0.0283
GNUSheep,2024,11,part01.py,0.0233
GNUSheep,2024,12,part01.py,0.089
GNUSheep,2024,13,part01.py,
GNUSheep,2024,14,part01.py,
GNUSheep,2024,15,part01.py,0.1198
GNUSheep,2024,16,part01.py,0.1145
GNUSheep,2024,17,part01.py,
GNUSheep,2024,18,part01.py,0.02
GNUSheep,2024,19,part01.py,0.5921
GNUSheep,2024,20,part01.py,0.0547
GNUSheep,2024,21,part01.py,4.6224
GNUSheep,2024,22,part01.py,0.8697
GNUSheep,2024,23,part01.py,0.0454
GNUSheep,2024,24,part01.py,0.0281
GNUSheep,2024,25,part01.py,0.038
Grecil,2024,1,01A.py,0.0187
Grecil,2024,1,01B.py,0.022
Grecil,2024,2,02A.py,0.02
Grecil,2024,2,02B.py,0.0233
Grecil,2024,3,03A.py,0.0276
Grecil,2024,3,03B.py,0.0277
Grecil,2024,4,04A.py,0.0405
Grecil,2024,4,04B.py,0.0229
Grecil,2024,5,05A.py,0.0494
Grecil,2024,5,05B.py,0.0522
Grecil,2024,6,06A.py,0.022
Grecil,2024,6,06B.py,
Grecil,2024,7,07A.py,0.3091
Grecil,2024,7,07B.py,
Grecil,2024,8,08A.py,0.0243
Grecil,2024,8,08B.py,0.0229
Grecil,2024,9,09A.py,
Grecil,2024,9,09B.py,
Grecil,2024,10,10A.py,0.0225
Grecil,2024,10,10B.py,0.0218
Grecil,2024,11,11A.py,0.0228
Grecil,2024,11,11B.py,0.1135
Grecil,2024,12,12A.py,0.0346
Grecil,2024,12,12B.py,0.0412
Grecil,2024,13,13A.py,0.0191
Grecil,2024,13,13B.py,0.0201
Grecil,2024,14,14A.py,0.0188
Grecil,2024,14,14B.py,1.0791
Grecil,2024,15,15A.py,0.0357
Grecil,2024,15,15B.py,0.0426
Grecil,2024,16,16A.py,0.4809
Grecil,2024,16,16B.py,0.9057
Grecil,2024,17,17A.py,0.0199
Grecil,2024,17,17B.py,0.0552
Grecil,2024,18,18A.py,0.0283
Grecil,2024,18,18B.py,0.0288
Grecil,2024,19,19A.py,0.0506
Grecil,2024,19,19B.py,0.2351
Grecil,2024,20,20A.py,7.9007
Grecil,2024,20,20B.py,8.4404
Grecil,2024,21,21A.py,0.0902
